twitts,sentiment
apologizes for taking all your oxygen http://tr.im/ozcg It's all my fault your muscles aren't working quite right ,0
@Lovestarbucks54 @lsmith77 @jessdontstop @RealJenniJones @mandaxarchuleta @iFeelLessAlone  follow friday!,1
Croatia already scored against Ukraine within first 2 minutes of World Cup qualifying game. 4 minutes in and Ukraine not playing well  ,0
Does any non-celebrity/non-news media entity have an INSANE amt of followers??? FOLLOW ME on #FollowFriday!!! I am THAT interesting! ,1
"I got a new top and im in love with it! And 9O21O monday, can't wait it's the day i got back to school  Tablecoth lady first thing  &lt;3",0
arms are looking HUGE from another solid workout ,1
@mileycyrus http://twitpic.com/4vv13 - I have a bird! His name is Melvin! ,1
OMOMOMOGMOGMOGMOMGOGMOGM SOMEONE MESSAGE ME PLEASEEEE I IS OHHH SOOO BOREDEDED!  &lt;/3,0
"Giving up my goal...they only work if you're rich, or know someone who is!!!  disillusioned mj... ",0
@Enamoredsoul ive also gotta figure out what loans of my defaulted. this is just getting bigger and bigger.  lol.,0
Just made another trip to evans this time for clothing :p spent a stupid amount but its worth it ,1
I am happy to have the lil doggie back in our house ,1
miss kabalin hates me ,0
@SookieBonTemps it is about to reach 100's in northern California  so summer is basically here for both of us! im fine with it too,0
I'm thinking the cooties are creeping up on me. ,0
"Home, finally. Hi ",1
@maver9999 I feel like nobody ,0
@MyerJo29 they're rather fabulous   let me try and email you the CD ive got.. ,1
@tatynhabsbrazil @backstreetboys say hello to Brazil ,1
I love sleepin on my couch. ,0
"got up of my bed and now, i'm not okay  listening to some music and talking with my mom (bla bla bla)",0
@kisskissxoxo Girl! Tht dream was deep! Wow! Wht do u think it means? ,1
"@UdiDahan close call, NSB just made it to the the list  http://is.gd/zJQe",1
i'm not enjoying life at the moment ,0
@georgesampson cant wait for the BGT tour soooo chuffed your gonna be on it cudn't get tickets last year  x,0
"@drop_d   yes, aka the minimalist tweet ",1
"Okay, maybe it will take another hour. Sorry guys, they want me there ",0
@Slodo cuz I could never figure it out. ,0
Home now still no power  hope to god it will be on sometime tomorrow,0
@a_moller soooo awful! It takes a good 15 mins to calm down ,0
@hierennu Well done for avoiding the trance  TTYS.,1
is sad his new SB6 CD's got nicked ,0
"damn, seems that there are problems with the vpn... have to try it tomorrow again ",0
"Almost finished with Half Blood Prince. Even though I know what's going to happen, I still get a little teared up ",0
@KyssRox @COUTUREDAMOSEL @EMstyles Surprise visit from my Sugar Pops and Sugar Daddy...Oh boy ,1
@JordansKitKat I think this one is real........I've been trying to make sure I only follow REAL ppl.     Can't be too sure I guess  lol,1
i'm really really bored ,0
@SWrittenWord Thank you for mention of new bloggers who might not have large following but interested in book reviews.  That's me  #BBPBEA,1
Just hanging out with Colin. The rest of the fam is gone ,0
@lumalfoy I MISS YOU TOOOO DARLING!!!!!!  -Hugg!-,1
I need to learn 150 pages about nothing though ,0
@zahrarobertson yes the gevaarlike mense want to go there as apposed to the biscuit mill. fuckers! Any cool music you have heard lately? ,1
@Lotay yes...it was about watching @charitywater drilling a new well for people in Africa...was wonderful to watch those happy people. ,1
"@introversimonDu sounds good.  and yeah, I turn 21 tomorrow so I'll definitely be partying. ",1
I wish I felt like talking to ppl. This is not a nice feeling ,0
@JasmineMcGregor You feelin any better? ,0
Let's hope today is good ,1
such a memorable Ollian song...   Snow Patrol- Open Your Eyes â« http://blip.fm/~7qd5g,1
Blah tonight was a bust. Too many drinks and only a small buzz. At home already. Boo. Lame night ,0
@LimeIce and I'm assuming the dress will be lime green as well! ,1
"hundred updates, wooo go me!!! ",1
@jbreezealand NOT YET! @therealhybrid has to beg a few more times! its like watching a dog play fetch!! LMAO much love @therealhybrid ,1
my step mom got me a jonas brothers bag for my birthday fsdlgh filled with nineteen presents because i told her that's what i wanted ,0
@Nnedi  Ugh. Colds suck. (or maybe I should say they blow.) Feel better soon!,0
"@greggrunberg hey, it's like that in television news too! A reporter's paycheck=chump change!  ",1
learning how to use twitter ,1
"I feel horrible right now... man i got sick out of nowhere, the day fina go by so slow ",0
@Ainz90 Oh no why ,0
http://twitpic.com/6jbil - I luv when the shirt comes up for a little peek ,1
@Wossy i'll take him off your hands if you want... he can live with me  YES thts a good idea,1
"Two steps forward, one huge stumble back. No more skating for a while... I wish I had a better job and could afford to do stuff. ",0
#dontyouhate when people just wont listen ,0
"Two meetings down, one more to go... looks like I won't be able to make it downtown for the Social Media event  bummers... sorry!",0
my dad died this time 14 years ago. ,0
"just had a terrifying experience with a spider, moth and woodlouse in my kitchen! then the reflection of my pjs was freakin me out! shesh ",1
I miss Cheryl ,0
I will get my own Sim now so I am excited ,1
@ShannonLeto take care of yourself  ...and drive carefully))))),1
is kinda wishing that you'd talk to her. ,0
missin my sis..... ,0
@jafane5 Sorry you feel so sick.    Sending you get well juju!,0
Stina sucks. ,0
I found this cool website called cuteashell.com you should check it out ,1
@CreoleInDC sad to see you go ,0
"@greedy_yearning A friend of mine lives there  Thuringia is not that bad, I lived near Jena for like... 11 yrs?",1
Aaargh - I did something wrong on my local WordPress install and now it's not working ,0
FML.  stupid computer viruses.    Britlee &lt;3,0
"@flaneur Ah, crap is that tonight ",0
@ work!!! boooooo ,0
@sammi_jade are you feeling as rough as i am today? (xoxo) had a great time yesterday hun! have a goodun today. tiny twitter is broken  xx,0
@selfproduction I'm so glad I'm not gonna be huge when it's hot ,1
@mileycyrus you're amazing for not letting smack talkers get the best of you  props ,1
Off to New Orleans to see my grandmother one last time... ,0
@rustyrockets hya russell!i kno u probs get ths all th time bt i worship u!wantd 2 see u ths year bt couldnt  INSIDE OF YOU! xxx,0
"Is it just me, or are James Bond movies just not the same without Sean Connery? ",0
@241sxb I KNOW! i'm watching click on FX now. so depressing ,0
-@sadbuttrue LOL Now that's a circus show indeed. Still no joy with http://is.gd/14kgOn though ,0
Was meant to go play cricket but can't get a lift so I'm now stuck at home watching the Apprentice on a lovely day  http://ff.im/-3niD8,0
@thereisaseason it was good (longgg though..)  just the usual old men trying to live their glory days..lol Our team lost   but he had fun.,0
says HEY!  http://plurk.com/p/z1d3y,1
@ayudo Yes - but this first edition is in Danish. Working on a English version .. it just takes some time to translate all 1395 pages ,1
found my padlock! finally getting a locker tomorrow  yayyy!,1
@igortizz went 2 bed at 11 woke up at 5 ,0
Thinks twitters a tad gay already....screwed me over already... ,0
" cant afford to see Angels and Demons, so i watched it for free: http://tr.im/lvBu",0
@littlecharva Thought I noticed some chemistry. ,0
@LauraDunne MAKE ME SOME ,1
"@asian_panda your moving to cali !? niceeee, im in cali  lets meet up ! haha",1
I'm having an extremely painful experience trying to get an Uncharted Multiplayer  Game  Code ,0
"@Kieli multitasking? always  but the Likes come from FriendFeed, which I mostly use from within PeopleBrowsr. There's a lot to Like!!",1
It's all rainy and gloomy out.. Just how I feel inside ,0
"Gorgeous Etsy FP,and I am included too with my Petals  Thank you!! http://www.etsy.com/",1
Is obsessively social networking via the phone with free 16 mbps internet and free electricity...thanks Delhi airport ,1
"@amandalovesTH yeah  keep voting, PLEASE ",0
i think i have mono ,0
@JessicaSimpson Awww too cute. I have a beagle and he makes my day as well ,1
@Courageous_one LOL but they don't have that Tipton Hotel show on a Friday   - btw I am working too just love NZ Kids TV shows,0
Im completely exhusted...its only 5.15pm and im ready for bed ,0
@DionneSouth 3 days of gadget show wow! Im going tomorrow  you did well for all shows! what times seem best to arrive from what u've seen,1
@geekrockbmwnerd - check this out - @davepalmerinc ,1
Yippee! My friend gifted me the book &quot;Back of the napkin&quot; by Dan Roam!  http://www.thebackofthenapkin.com/,1
@perez420 only like.. 3 more months. my tickets came in the mail already ,1
@aimstah Meeting up with hubby. xD Which I have to do... now. ,0
Good morning all ,1
Done for the night...only 20 pages to go before getting into the horrible organization issues of my paper ,0
@JonaifiedNsyncr HAHA! The're reserved for one person only!  Sorry,1
uploading a video in youtube ,1
@Kimioko they were literally going off right outside my window. they were for Ring Dance here at the academy ,1
Morning world! What a lovely day!! ,1
@IrvdaRealdeal: I will press that ignore button ,1
is off to bed  Dentist tomorrow ,0
@babygirlparis mee toooo  i live here and was shopping on michigan yesterday &lt;3,1
So bummed I dont get to watch the Laker game tomorrow... I'll be stuck at work ,0
@brinathemodel I'd like to think I helped you make that choice.... Even if I didn't let me believe it ,1
@rponto today not so great.  My brain was just fuzzy and I couldn't focus. Other days much better.,0
@ariellemegann ha thats what im talkin bout. . . so how you been besides all this internet stuff? how's life? ,1
@KoganTech when is the draw being held? ,1
Switching back and forth between the Laker Game &amp; WEC while munchin on empanadas from Luisa &amp; Sons Bakeshop! ,1
"though, due to the complete lack of suspension, i cannot do much of anything without having my back scream in protest ",0
watching the @jonasbrothers live chat from may 28th now xD missed it on facebook ,0
@nikorudesu  best wishes. Stay positive,0
@mikiyyyyyy haha im good ,1
"@grotchops well thank you, i'll gonna see it ",1
I CANT FIND GIZZY!!!!! I'm going to cry ,0
@iseedeadpixels ,0
i lost my phone  if only if only jesse could figure out how to use twitter on his phone,0
"@lildrummergie Our little boy's severe Eczema was greatly improved with Vidazorb probiotics- they R grt, our whole fam is on them now ",1
"@DistinctionJewl Oh, well that's a shame! Sorry to hear about your troubles! ",0
I want to go to a concert of blink 182! ,0
Boring day  Cleaned  room &amp; vaccumed hous.4 days &amp; I havnt seen any1 besids my parents. I feel like im in isolation!,0
"@thesixthaxis Ahahahaha. It's being cit jeez, just not too short. You get used to the warmth around your ears ",0
@asin NP  thanx for sharing!,1
"@WnchstrsGirl aww, girl, that sucks  *hugs*",0
@SinnamonLove i voted for you! ,1
@spilth awesome! you should play with us when we practice for the podcast. unless we scared you off  do you like l4d?,0
@michichan I didn't see the rollergirls  I love them! I met them up at the facility up on the 51,0
I have a horribe migraine!!!!!  I'm supposed to help with a 6 year olds birthday party today too!!!!  Meds better start kicking in!!!!!  ,0
@rxtheride Hello RXtheride! i request the song A Little Too Not Over You by David Archuleta pleaseeeee. ,1
"@lewisusher aha, i can see everythinggggg you say though? oh well, Hi! ",1
@babyface_GM Give IN To TEMPTATION!!! ,1
@geneveaireen Hi Neve! No updates from you recently.. Hmm.. Hope you're ok. ,1
"@Scottmehl I know, I hated it. I'm trying to get my voice back though  I'm drinks loads and loads of water. No more soda!",1
"@mr_ticky hahaha now ur just making me! Like we discussed, when u win the 17mil jackpot ill be there  and u will buy me everything!",1
@hayllow thanks so much! I sure appreciate the cheering ,1
@ClintonSkakun  sounds like your books have arrived *winks*,1
Goodmorning tweeps... Thank God Its Saturday..lol... So whats everyne plans for today.. Its rainy in Philly ,0
My stomach is talking . im starving ,0
i like playing with fire  ,1
Forgive me good lord for this time I /knew/ wat am I doing.. Except the mighty oracle just didn't *&amp;@#ing care to fully support UnixODBC. ,1
just sharing my Chinese spare ribs recipe  http://bit.ly/16nOH5,1
@superbeccax Haha SOOO JEALOUS ATM. Lol but glad you had fun no? Lol - Is 'Down Goes Another One' just as amazing live?  xx,1
@rsiu0104 How did it go? Any freebie? ,1
http://twitpic.com/6do7s - ballet folklorico (without hands   ),0
"@TallulahRemiter Lu!!!! I'm reading the interview, but the text keeps overlapping for me ",0
@psam i knoww... picked it up at a lib near my place... ,1
@EstherSausages they always end up down me ,1
"@Claudia91 Wembley on Nov. 20th, with my sister ",1
I know I'm better than this ,0
ah! too much to do - the day is slipping away from me. I have to be at work to work OT soon  I have time for a good run and then I'm off,0
"and this is &quot;gray boy&quot; he visits every morning, to collec walnuts from the tree outside me window   http://twitpic.com/69mlg",1
@ryandrews nice one  we could have done with some more pictures online though!,1
rawr  i have a crush xD,1
Heading home to start Homework ,0
"@mediamadam me 2, but i don't have that much access here. american media sucks. ",0
@CarinaK  Great Song  Great Expressions,1
"Sitting bored because without xbox live, I can't play ffxi ",0
@kirstiealley i stick to it for a few months..then hit a brick wall and cave in!!        xx,0
@Doylis baby u were a good cheerleader ,1
My team leader just decided to show up to the office....no more wasting time! time to start working seriously ,0
Baby... How else do I explain it? You make me more happy than anything... EVER... ,1
@smbryar Regret 2 inform u you're right  My family voted. But I'll certainly watch House when I get back on Mon so we can discuss on Tues,0
R.I.P Danny La Rue - Such a Great Entertainer he was one of my idols and its such a shame ,0
At work on a Sunday ,0
Hilarious Ross Noble interview on ROVE: http://bit.ly/Vx7eA   I missed Rove on Sunday ,0
cant update profile picture nor change background image  for @communityequity   ugly ugly  #twitter #bug,0
Watching some good old tv ,1
Just under 6hrs 20 mins till new ToHo site launch. All nighter anyone? ,1
now we continue with Atonement  bahahaha omg its still really really hot  suuucks!!!,0
@yaseminx3 LOL XD im ok thanks just about to start my homework :\ back to school tomorrow after my week off  why dont you have school? &lt;3,0
@DjBingy allright. be safe.  - i am networking..lol,1
After a fun vaca in disney world we are sitting in the airport awaiting our flight home! what a great/fun week! ,1
@Jeremy1018 you suck! ,0
@ecalderon19 NO ,0
Just came back from my brother's last rugby match before the end of the match. I take pictures there and I'm gonna miss it. ,0
@kuraya you are not aloneeee ,0
@pianoeditor Cake cures all maladies. ,1
"@juuleeya As I said before, you're too much the optimist.  ",1
if u love me vote for @CiMarsLover http://bit.ly/tbt66 thank u ,1
@mnty Ack!  Are you/your people ok?,0
"thankyouuu @rizizzle! and i've followed her, khloe, kourtney &amp; rob!! ",1
I have no idea how this works! haha ,1
headache  out shopping for books! phil &amp; lois's house tonight!,0
"having dinner on train - nuts and organic juice  i love being on the train, so many strangers ",1
SHOUT OUT TO ALL MY FOLLOWERS. U guys are freaking awesome. I think I JUST might have the kewlest 1s. ,1
My girl friend is ignoring me ,0
@heygayjay ahahaha your so cute! i miss you!  you coming to sway sway?,0
watching the lost boys . . . Now who wouldn't want to be a vampire ,1
today sucks...feel like crap...didn't sleep...and it's the one week that not working is not an option  fml,0
bored and not feeling good !! ,0
@newcastlemusic most TV series do that unfortunately ,0
@cosmicblush Thanks for the Donnie Picture..he's so HOT! Love it. Glad you had a good weekend..sorry your brain was dying! ,1
Noting to do no one want to hang with me ,0
another wetty and lazy morning with rains and thunderstorm ,0
@RedAntiques Uh OK rarely. I'm a bit thick this day ,0
Boo. My parents never pay library fines so I cant ever go to the library ,0
Come trip the fuck out with me. http://bit.ly/11KBMY   lol,1
"ugh, mother nature. i don't feel good. ",0
@zenbitch oooooh nice!  How old are ya?  ,1
Moring all off to work inside yet again on a sunny day ,0
"I don't like rainy days, especially rainy days at the boat  eating with @raeelynn.",0
"@TheDailyBlonde I love Banana Republic-their perfume, Classic, is one of my faves-thanks for the link.  ",1
@gulpanag :swim sounds perfect in this weather. I hit unplanned oil slick too this week..did 360 in car:O..glad 2 hear u n bro are A-ok ,1
@WayneCheng ooh where do i find one of these cute liittle monkeys that like to draft?  i will pay far monkey wages  #ilovemonkeys,1
"@MisisipiFlyer Thank you Misisipi... You too!    We have to be prepared... ;)  Nite Nite, Sleep Well, Don't let the bed bugs bite... ",1
@dominiccampbell That is shocking. But probably not surprising. I do not want them to lead me... ,0
i miss battlestar galactica and kara thrace. ,0
schoolwill start tomorrow! it sucks bigtime! ,0
@heroespodcast  sad to hear about fuller,0
@Bizarre57 yeah the weekends go way too fast  doesn't help that I sleep in til 10am both days haha but I love my bed!,0
Going to swim a few laps to offset the In n Out! Hoping it wakes me up! Still wondering why @luv2makeulaugh didn't invite me to Old Navy ,0
"Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help ",0
"@shibsybbsydibsy  naughty naughty. Bad man, bad alcohol, have a nice meal - ur not fessin up are u?",0
"@Parascience house probably resembling your kind of heaven no?  maybe Ciaran's angels have moved in with you, hence inability to locate!",1
@Jason_Manford I Dont get it ,0
@frito_m0jito late but..it isn't MY puppy  This is sad times. Because we have no puppies we just babysit other peoples puppies. Shessocute,0
"@bethofalltrades  That's so sad!! I used to live in Gerritsen Beach, Bklyn. Now, sadly, I live in Utah! lol",0
The gym is closed anyways  sam is amped on making aapep's house since we got the new tank. Gym tomorrow I guess.,0
@JosephRanseth Thanks. That was awesome of you. ,1
@ChinaBlue79 Awww you don't look a day older than Sonic The Hedgehog ,1
@garlic_77 Sure.  Whenever you can make it.,1
"@Jill_Herman Cool cool, hope you did well! It wasn't that bad, except the few hailstorms.  But I guess it was better than +30 and running.",0
"@dcainswo I doubt it, I just need some good sleep I think. Possibly a couple of whiskey's.  Have a good weekend!",1
had another lonely train ride. even sadder when the train stopped at his stop and he wasnt there to say bye to him at that stop. ,0
@jodymal the first is @TamaraSchilling  I thought everybody knew by now... LOL  j/k,1
"tired and fed up this eveing,  off to bed ",0
@zvf how long are you in WA for? i would like to retrieve the hula lady you got me if at all possible ,1
i have a cold  thanks to Montreal's stupid weather,0
listening to @mitchelmusso's new album  ..it's so amazing! *-* ! go and check it out. and studying for an annoying chemistry exam ,0
soooooo mad non of the people i follow answer me back ,0
Ok who remebers this  ? http://blip.fm/~7dhtk,1
"Oh, and good morning to everyone   www.gafunnyfarm.org",1
@ouchnojoke i missed youu ,1
@dannygokey http://twitpic.com/6rshi - whoa...very cool glasses ,1
Text me please? ,1
@DynamicDiva42 Coming up soon! I get along with Leo's but relationships never work cause they can never commit/flaky ,0
"@hayleywestwoodx Fair dos, I thought it was a celebratory statement. I think you mean &quot;A week today!&quot; though ",1
"@PinkLightning_  You could hang rond with me,emma and cherie we like you ",1
"@dannygokey Rule of thumb when traveling, always carry on a change of clothes.  This includes the spare undies.  Former United employee.  ",1
"@lsaldanamd &quot;may be better to have single source than no source.&quot; - Correct, especially if the source is reliable... ",1
my back hurts ,0
@LieutenantRoss Oooh I survived the followers cull ,1
@milliontwits All taken with my own fair hand...................cross my heart and hope to die!!!  Glad you enjoyed them! ,1
"@FM_Doll Oi, Ive only been talking about games for 3 days.. 3 days! before that it was all mostly bollocks. Hows the puppy, still alive? ",1
is looking for a new firewire interface.  The Focusrite Saffire LE did me dirty. ,0
"@iamdaddy loudly.. &amp; im in europe D: haa, kidding ",1
"Did a 5 mile bike ride yesterday, will do the same today, then more JAVA GUI...and the rains come back ",0
#marsiscoming moving up.  keep up it people! ,1
@Shifter99 me and @ryan_connolly are currently working on it. and its coming along nicely.  and i do have the G1. its the balls!,1
@TiaraLaNiece what's shaking? Was down XS last night spazzing out with @royalblueb and @beautifulkel. All we needed was u ,0
Unit  9 Marked. 6 students failed to hand it in  .  Range of grades from U - A ... so frustrating as they were all in same class...???,0
going home today ,0
I'm just in a bad mood.  And I don't want to go to work.,0
House parties with my dad's friends are never any fun ,0
@dickc I think you have too many conference calls ,1
Ass hurts from the bull     that sounds bad,0
@nezzle well we got tempted ... was a year of hurt financially ... but at least we had shiny computers (that we've still got somewhere) ,1
@Canariecruz you never gave me one  x infinity,0
That makes the song about 50 times less awesome now. ,0
@madpierrot maybe it'll listen to you  dude it's like three in the morning. what time is it over there?,0
Xbox live I can't get on nooo this suck I'm going to buy a new xbox now crap ,0
I have a horrible stomachache ,0
argh my voice is going and it hurts alot and it hurts when i swallow and when i eat food it tastes weird  oh well seeing my bestoo tmoz..,0
This is Ridiclous!!  @upi_top L.A. mulls paying parents to tend kids http://www.upi.com/turl-137134/,0
"OMG! I have 1,000 updates! I'm very happy.. wow. I got it  reach thanks to David &amp; Hannah ;)",1
@Grant_Jackson  :') i thought you were ignoring me :'(,0
@Schofe Hopefully it won't stop you getting to the studio on time. although you could always do a Terry Wogan and broadcast from your car ,1
is mad cause i cnt go 2 prom saturday..  its alright tho its just my junior year..most definitly goin my senior year..wouldnt dare miss it,0
"xp'ing in lineage 2 at work, but worried about my guinea pig ",0
lmfao get a clue is on! classic movie ,1
"@taqumi Greetings from Desenzano, Lake of Garda. You had a good deal with your bike. Congrats!  We should arrange a short ride soon! ",1
ugh im so bored but i got like 100 new songs they cost like 60 bucks  but i was worth it,0
@TickleMeJoey Can you please just give me a shout out? i love you guys ,1
@HollyEgg I sense a news story in the making: in economic crisis elopement becomes more attractive and financially feasible. ,1
ahhh this math assignment it killing me i have been working on its for 5 hours straight and have about 5% done ,0
its the freakin weekend already!!!! Weeks are flying! Soon summer will be over ,0
I gotta go. Bye  i'll come back in a few hours.,1
"@mookyninja awhh america have everything  meh i'd prefer to be over there tbh... its aaallrighhtt, but only average. how is it where u r?",0
Gradudtion 2moz leave skwl 4 gd gunna miss my m8s though n 1 lad inparticular ,0
"I am so so sick... ugh. Can't wait to get better.  Oh well, I get the company of a lot of screaming children tomorrow! Huzzah.",0
watching e! news ,1
Watching the Pokerstars on TV  Strange the odds of winning these tournaments is now almost considered impossible ,0
@TravisKaimi thank you ,1
"Church, get ready for prom, then prom. ",1
"@gaylejack  @vidabatine I've still got all mine in a milk cart, just no turntable ",0
coffe coolatta and a nap!!! ,1
outside  ..fuck ya projects.,1
@henryandfriends yup is moosik  indeed me like them is a good band,1
@nickjonas luv u nick...wish u all the best in the future undertakings...my exams is in one week..pray for me ,1
yay rides here ,1
@al_ice no i havent  not yet. hehe. any good ones in CT?,0
@imsuperhuman i still can't find David ,0
"Had a very eventful night. Struggling slightly, but still okay. Wishing I was better at advertising/pushing an idea ",0
"For just $8 a month, you can add up to 500 movies at a time to Netflix instant cue and view on TIVO instantly. Amazon charges $5 a movie ",0
"@danadearmond aside from the humidity, it's not too bad. Busier as the day's gone on though ",0
@trvsbrkr d.o.a jammin ? sounds good ,1
&quot;Tonight I will be miss Saigon&quot; from the broadway and west end musicalhit miss Saigon. ,1
@ lsteezy the rain is gone ,1
Going camping tonight ,0
@TheRaeRae  #FNWC the early edition ,1
@osuamateur97 yeh its cool....better when you're out and about and have a twitter app on your phone...you can tell the world everything! ,1
"I have finally seen the movie Twilight, after all waiting to see it, so I finally had to do it. The movie was really good. ",1
@VaneDEW yeah that might start some stuff.. lol... oh well... ,1
@ankita_gaba aww. didn't mean to be rude. But I thought @Shadez was .  Sorry for hurting ya guys  just shared my thought ,0
@LeslieIN  so what was said??  I'm so bummed I missed it!.  *sigh* I want to go to california ,0
Ouch. The boys are hungover. Seriously. Not in a good place right now  x,0
@veela_valoom I am requesting some new puppy pictures ,1
Both of my brothers are graduating. But i have to do finals ,0
the pretzel bread at muvico was fire...glad that i got some to go ,1
@rickrodgers Ch?c Agi ko ?i xem show ?ï¿½m nay. Cï¿½n Rick? ,1
THE ROOM FOR IMPROVEMENT IS THE BIGGEST ROOM IN THE WORLD  (so I heard).,1
ugh i ate too many cookies ,0
@geraldgsantos Thank you! ,1
"fail, i meant last day tomorrow ",1
@WeAreTheUsed when you'll come to Brazil again? ,1
got back from seeing  a show and shopping with family in birmingham and now unfortunately too tired and grumpy to party ,0
Enter Shikari on Kerrang! Happy days ,1
@stupidpuppy oh snap  thanks good to know. I'll hit up my local Walmart and check them out.,1
"@binnyva And, hey, do you know about BSNL GPRS internet ? I have BSNL connection and to have internet on the go ",1
"@georgestanley: We watched HIGNFW, Spirited Away and Genius ",1
"I'm the bird with broken wings, she's the song i love to sing  you know who you are xx",1
I'm helping to moderate a panel on semantic advertising thurs - ping me with your queries ,1
went pebble/creek hiking... marley-0 current-3 my puppy almost died! ,0
listening to africa by karl wolf   &quot;its gonna take alot to drag me away from you&quot; &lt;3,1
@JooIs + 2x5 paypal charges as they paid by card  Guess I was lucky the payment went through. Buyer rules on there.Sellers get the finger.,0
following geo peeps I won't have the chance to meet this year #where20 and #wherecamp I really envy u all attendees ,0
just played a cash game with my friends at my house and cashed out for $1545 when there was only $2370 on the table.. profited $845 ,1
@SkydiveGuy You want to buy me a Kindle 2 and an xbox arcade console...  You know you do.  ,1
@roadtrees ahaha twittering. im bored. i havent done homework tooooooo. sucks ,0
@rodrigolab  glad you like!  Check out this Miike Snow remix on @pmablog: http://bit.ly/5msxv,1
gutted i missed my delivery this morning ,0
where's my partner in crime ?   *sob*,0
"@melissamelisse in a pinch, seems like it could be pulled off. and my room is spotless, of course ",1
Shopping for brunch in the pouring rain. I love my gf's. Can't wait to see you today  #fb,1
fighting a nasty cough ,0
im catching up on my david mitchell podcasts ,1
On my way to the airport! Saying goodbye to FL ,0
"thanks lovely people for comments http://bit.ly/5aGEn  just dm if you want the P/W, angry girl ",1
@sidesey love than movie! Fav quote: 'Attilla the Hun-Hun' ,1
hungry but can't really eat :-/ idle mind...   trying to keep myself together.,0
"@Andrewgoldstein hmm hard choice. You totally want to pick me up on your way to seattle though, right? So I can see y'all ",1
@mlbarnes2009 LOL. I won't be able to use a lot of the new features since i have a 1st gen. ,0
"@combustiblesong just checked and Gungry isn't a word, i own all rights to it!! ",1
"@PoliBinder u cant?  yees, i guess we'll come to my house :",0
I love fabien !!! Marouane stay in Bordeaux  please !!! ,1
"@kingbomani i love everything about the rain. The smell, the feeling, the cold wind, everything ",1
Brilliant Freudian slip by Lord Mandelson when he said the cabinet is united against Gordon Brown. ,1
"@oldbluebox Found you through @MrTweet. You dig phones, I dig phones..let's be friends ",1
@mikeyway We'll get you to the top ,1
dreading the end of this year....pleeeeasseee don't make me go home for summer ,0
@chi_weets are you still awake dude? ,1
Got my frst speeding ticket ,0
this wedding will be the death of me. and we just dropped the dogs off at the kennel.  i miss them already!,0
@laracroft25 you're the yoga queen aren't you?  LOL  have fun with that....im in class til 3 ,0
@LainEubank i did too   dont miss the fast track coaching with @danesanders and @thebecker this afternoon!,0
@theendtime  thankee madame. Are we Shooting tonight?,1
"Ok , night!!! See you tomorrow guys ",1
@edo_au Like the new picture ,1
RDP over VPN is working much better than it did previously. Finally I can do work from the comfort of bed ,1
Damn government study  so god damn boring ,0
forgot I was on twitter ,1
every stinking video game site is slow and won't let me watch the E3 live feed ,0
is wishing that i could be famous for acting and dancing ,0
"Bedtime, up at 6:30 (UGH) to go play mommy for @be_alive while she enrolls/orientates at the Hof ",1
@paijey Yeah it's from a play that you missed! ,0
@petewentz  I cried when I saw mac &amp; me ,0
I'm thinking your chest probably isn't supposed to vibrate when you cough  STUPID deep chest cough,0
"@rozfrancisco  Get well soon, bb.",0
someone just asked me if I was a graduate ,0
"boredd out my head, grounded  stuck in while all my mates are out!!",0
tired of living out of packed boxes...looking forward to the big move this week.  ,1
@LovatoFans it was actually storming here last night =S it wasn't that bad though ,1
@pinkbunny69 you are vair vair pretty missis  x,1
ima be late for rehearsals. thats just the way i am.  haha,1
had deep thoughts to herself when she's on her way home just now.. ,0
@HatsandHugs No problem honey!!! The cause MUST go on!!  Hugs!!  ,1
Brian and Greg are gone!  But definitely gonna enjoy these last few weeks in Coogee!,0
@kjofficial: You were both stunning and magnificent. I will follow you from now on. ,1
"Okay, not a good sign. 11 weeks of freedom- first day in and I'm a little bit bored. But I don't want to waste this glorious weather! ",0
"@kayjay12 I figured you were young enough to be excited, thus young enough to be asked. ",1
@Author82 writers block ACK... ,1
Very smart  Advertising in MS Powerpoint decks - http://bit.ly/3LvKy,1
"Alisher ?? ???????????? ??????, ??????????, ?????-???? - ? ?????? ??? ??????. ???? ??? ???? ? ??? ??????? ? ?????? ????????? ??? ??? ",1
Walmart STILL doesn't have @mitchelmusso 's album... im gettin really ticked ! i want it ,0
@teresaw1234  welcome.  ,1
@ruby_gem ta  have been trying out almost everyone I know whilst the techie chat goes on #bcleeds09,1
@mitchelmusso Hey Mitchel  How are you?  Follow me PLEASE! I love you &lt;3,1
listening to dolly parton  while going to the oprey im really happy  like content. gunna see the place idols have sung and i have drea ...,1
"another day,another book,another sea shore...sometimes life is hard.... ",1
&quot; I'm only 13!I'm only 13&quot; &lt;- part of a win quote I can't paste in here due to the &quot; *** &quot; words ,1
@jasontrbc Should have told me you were going...you know I have connections up there. ,1
"libertines reunion  i need a haircut, its gone too curly",1
@platypusduck ,0
hey y'all  ,1
@mjnewham cool what movie u goin to see? I need to sort my site out might do a redesign now I have broke up from uni ,1
I dont think Im goin to Va ,0
@carlos_lll it's camerons flame retardant suit. I don't know how he's escaped some of this crap sticking to him ,0
"@andypiper wasn't that @robsmart's creation? I will happily take credit for thinking about it, and writing http://bit.ly/Pu8K4 though ",1
